Split,File
train,ArtHall_000000
train,ArtHall_000015
train,ArtHall_000030
train,ArtHall_000045
train,ArtHall_000060
train,ArtHall_000075
train,ArtHall_000105
train,ArtHall_000135
train,ArtHall_000150
train,ArtHall_000180
train,ArtHall_000195
train,ArtHall_000210
train,ArtHall_000225
train,ArtHall_000255
train,ArtHall_000325
train,ArtHall_000340
train,ArtHall_000370
train,ArtHall_000395
train,ArtHall_000435
train,ArtHall_000460
train,ArtHall_000485
train,ArtHall_000510
train,ArtHall_000535
train,ArtHall_000560
train,ArtHall_000610
train,ArtHall_000695
train,ArtHall_000725
train,ArtHall_000755
train,ArtHall_000815
train,ArtHall_000845
train,ArtHall_000970
train,ArtHall_001145
train,ArtHall_001215
train,ArtHall_001235
train,ArtHall_001260
train,ArtHall_001285
train,ArtHall_001310
train,ArtHall_001335
train,ArtHall_001340
train,ArtHall_001345
train,ArtHall_001355
train,ArtHall_001360
train,ArtHall_001370
train,ArtHall_001380
train,ArtHall_001385
train,ArtHall_001390
train,ArtHall_001415
train,ArtHall_001430
train,ArtHall_001455
train,ArtHall_001480
train,ArtHall_001485
train,ArtHall_001490
train,ArtHall_001495
train,ArtHall_001530
train,ArtHall_001575
train,ArtHall_001585
train,ArtHall_001590
train,ArtHall_001600
train,ArtHall_001615
train,ArtHall_001630
train,ArtHall_001645
train,ArtHall_001660
train,ArtHall_001675
train,ArtHall_001690
train,ArtHall_001705
train,ArtHall_001735
train,ArtHall_001750
train,ArtHall_001765
train,ArtHall_001780
train,ArtHall_001810
train,ArtHall_001825
train,ArtHall_001840
train,ArtHall_001900
train,ArtHall_001920
train,ArtHall_001940
train,ArtHall_001960
train,ArtHall_001970
train,ArtHall_001985
train,ArtHall_002005
train,ArtHall_002025
train,ArtHall_002045
train,ArtHall_002065
train,ArtHall_002085
train,ArtHall_002100
train,ArtHall_002115
train,ArtHall_002190
train,ArtHall_002225
train,ArtHall_002285
train,ArtHall_003225
train,ArtHall_003235
train,ArtHall_003250
train,ArtHall_003260
train,ArtHall_003275
train,ArtHall_003280
train,ArtHall_003305
train,ArtHall_003325
train,ArtHall_003405
train,ArtHall_003465
train,ArtHall_003480
train,ArtHall_003485
train,ArtHall_003505
train,ArtHall_003525
train,ArtHall_003535
train,ArtHall_003540
train,ArtHall_003545
train,ArtHall_003565
train,ArtHall_003585
train,ArtHall_003625
train,ArtHall_003665
train,ArtHall_003685
train,ArtHall_003705
train,ArtHall_003725
train,ArtHall_003745
train,ArtHall_003765
train,ArtHall_003785
train,ArtHall_003805
train,ArtHall_003825
train,ArtHall_003845
train,ArtHall_003865
train,ArtHall_003870
train,ArtHall_003895
train,ArtHall_003900
train,ArtHall_003920
train,ArtHall_003965
train,ArtHall_003970
train,ArtHall_003985
train,ArtHall_004030
train,ArtHall_004045
train,ArtHall_004055
train,ArtHall_004060
train,ArtHall_004065
train,ArtHall_004070
train,ArtHall_004075
train,ArtHall_004090
train,ArtHall_004105
train,ArtHall_004145
train,ArtHall_004205
train,ArtHall_004225
train,ArtHall_004230
train,ArtHall_004245
train,ArtHall_004255
train,ArtHall_004260
train,ArtHall_004280
train,ArtHall_004295
train,ArtHall_004310
train,ArtHall_004370
train,ArtHall_004405
train,ArtHall_004440
train,ArtHall_004500
train,ArtHall_004540
train,ArtHall_004580
train,ArtHall_004620
train,ArtHall_004685
train,ArtHall_004745
train,ArtHall_004760
train,ArtHall_004775
train,ArtHall_004810
train,ArtHall_004945
train,ArtHall_005035
train,ArtHall_005050
train,ArtHall_005070
train,ArtHall_005090
train,ArtHall_005110
train,ArtHall_005130
train,ArtHall_005170
train,ArtHall_005190
train,ArtHall_005230
train,ArtHall_005250
train,ArtHall_005270
train,ArtHall_005290
train,ArtHall_005305
train,ArtHall_005320
train,ArtHall_005330
train,ArtHall_005335
train,ArtHall_005340
train,ArtHall_005360
train,ArtHall_005400
train,ArtHall_005420
train,ArtHall_005440
train,ArtHall_005460
train,ArtHall_005480
train,ArtHall_005500
train,ArtHall_005515
train,ArtHall_005530
train,ArtHall_005570
train,ArtHall_005590
train,ArtHall_005610
train,ArtHall_005630
train,ArtHall_005670
train,ArtHall_005690
train,Banseok01_Snow_00046174
train,Banseok01_Snow_00046179
train,Banseok01_Snow_00046184
train,Banseok01_Snow_00046189
train,Banseok01_Snow_00046194
train,Banseok01_Snow_00046199
train,Banseok01_Snow_00046209
train,Banseok01_Snow_00046214
train,Banseok01_Snow_00046219
train,Banseok01_Snow_00046224
train,Banseok01_Snow_00046249
train,Banseok01_Snow_00046254
train,Banseok01_Snow_00046259
train,Banseok01_Snow_00046264
train,Banseok01_Snow_00046269
train,Banseok01_Snow_00046274
train,Banseok01_Snow_00046279
train,Banseok01_Snow_00046289
train,Banseok01_Snow_00046294
train,Banseok01_Snow_00046299
train,Banseok01_Snow_00046309
train,Banseok01_Snow_00046314
train,Banseok01_Snow_00046319
train,Banseok01_Snow_00046324
train,Banseok01_Snow_00046329
train,Banseok01_Snow_00046334
train,Banseok01_Snow_00046339
train,Banseok01_Snow_00046349
train,Banseok01_Snow_00046354
train,Banseok01_Snow_00046359
train,Banseok01_Snow_00046364
train,Banseok01_Snow_00046369
train,Banseok01_Snow_00046374
train,Banseok01_Snow_00046379
train,Banseok01_Snow_00046384
train,Banseok01_Snow_00046389
train,Banseok01_Snow_00046399
train,Banseok01_Snow_00046404
train,Banseok01_Snow_00046409
train,Banseok01_Snow_00046414
train,Banseok01_Snow_00046424
train,Banseok01_Snow_00046434
train,Banseok01_Snow_00046439
train,Banseok01_Snow_00046444
train,Banseok01_Snow_00046449
train,Banseok01_Snow_00046454
train,Banseok01_Snow_00046459
train,Banseok01_Snow_00046469
train,Banseok01_Snow_00046474
train,Banseok01_Snow_00046479
train,Banseok01_Snow_00046484
train,Banseok01_Snow_00046489
train,Banseok01_Snow_00046494
train,Banseok01_Snow_00046499
train,Banseok01_Snow_00046504
train,Banseok01_Snow_00046509
train,Banseok01_Snow_00046514
train,Banseok01_Snow_00046519
train,Banseok01_Snow_00046529
train,Banseok01_Snow_00046534
train,Banseok01_Snow_00046539
train,Banseok01_Snow_00046544
train,Banseok01_Snow_00046554
train,Banseok01_Snow_00046559
train,Banseok01_Snow_00046564
train,Banseok01_Snow_00046574
train,Banseok01_Snow_00046579
train,Banseok01_Snow_00046584
train,Banseok01_Snow_00046589
train,Banseok01_Snow_00046594
train,Banseok01_Snow_00046599
train,Banseok01_Snow_00046604
train,Banseok01_Snow_00046609
train,Banseok01_Snow_00046614
train,Banseok01_Snow_00046619
train,Banseok01_Snow_00046629
train,Banseok01_Snow_00046634
train,Banseok01_Snow_00046639
train,Banseok01_Snow_00046644
train,Banseok01_Snow_00046649
train,Banseok01_Snow_00046659
train,Banseok01_Snow_00046664
train,Banseok01_Snow_00046674
train,Banseok01_Snow_00046679
train,Banseok01_Snow_00046684
train,Banseok01_Snow_00046689
train,Banseok01_Snow_00046699
train,Banseok01_Snow_00046709
train,Banseok01_Snow_00046719
train,Banseok01_Snow_00046729
train,Banseok01_Snow_00046734
train,Banseok01_Snow_00046739
train,Banseok01_Snow_00046749
train,Banseok01_Snow_00046754
train,Banseok01_Snow_00046759
train,Banseok01_Snow_00046764
train,Banseok01_Snow_00046794
train,Banseok01_Snow_00046799
train,Banseok01_Snow_00046804
train,Banseok01_Snow_00046809
train,Banseok01_Snow_00046814
train,Banseok01_Snow_00046819
train,Banseok01_Snow_00046824
train,Banseok01_Snow_00046829
train,Banseok01_Snow_00046834
train,Banseok01_Snow_00046839
train,Banseok01_Snow_00046844
train,Banseok01_Snow_00046849
train,Banseok01_Snow_00046864
train,Banseok01_Snow_00046869
train,Banseok01_Snow_00046884
train,Banseok01_Snow_00046899
train,Banseok01_Snow_00046919
train,Banseok01_Snow_00046924
train,Banseok01_Snow_00046929
train,Banseok01_Snow_00047019
train,Banseok01_Snow_00047024
train,Banseok01_Snow_00047029
train,Banseok01_Snow_00047034
train,Banseok01_Snow_00047039
train,Banseok01_Snow_00047054
train,Banseok01_Snow_00047059
train,Banseok01_Snow_00047064
train,Banseok01_Snow_00047069
train,Banseok01_Snow_00047074
train,Banseok01_Snow_00047079
train,Banseok01_Snow_00047089
train,Banseok01_Snow_00047094
train,Banseok01_Snow_00047104
train,Banseok01_Snow_00047109
train,Banseok01_Snow_00047114
train,Banseok01_Snow_00047119
train,Banseok01_Snow_00047124
train,Banseok01_Snow_00047129
train,Banseok01_Snow_00047134
train,Banseok01_Snow_00047139
